"Format"	"EVNEW text 1.0.1"
"Created by"	"EVNEW Public Beta 1.0.2"
"Number of resources"	1719

"Resource Type"	"ID"	"Name"	"Text"	"Graphics"	"Movie File"	"Flags"	"End-of-resource"
"desc"	140	"Verril Prime"	"The original colony on Verril Prime was destroyed during the Voinian war. Now that the area is a little safer colonists are slowly trickling back, but it is a slow process. Still, thanks to this fact Verril Prime remains mostly unexplored and untamed, and there are many natural wonders to be seen here."	-1	""	0x0000	"EOR"
"desc"	141	"Paaren"	"The self-proclaimed 'second city' of humanity, Paaren is a luxury world inhabited by anyone with the inclination and enough cash to pay their own way off Earth. A large planet, there is easily enough room on Paaren to keep the luxury-residential areas and the industrial spaceport and shipyard zones well apart."	-1	""	0x0000	"EOR"
"desc"	142	"Paaren Station"	"In the darkest hour of the Voinian War, all the signs suggested that Earth would fall to the Voinians. Plans were laid for partial evacuation and a general retreat to Paaren. To this end Paaren station was built as a last line of defence. Before it was finished, however, the Voinians had been defeated at the Battle of Sol and were being forced back. The construction of the station was abandoned."	-1	""	0x0000	"EOR"
"desc"	143	"Outpost Theta"	"Outpost Theta is the most remote of all the outposts on the Voinian frontier, set up at great expense, and after several failed attempts, to guard against the threat of the Voinians outflanking human space and attacking via Saalia. Isolated and distant from goings-on back home, the personnel here welcome news from the rare traders who pass through."	-1	""	0x0000	"EOR"
"desc"	144	"Mars"	"Despite many ambitious proposed projects, Mars has never been colonised, and remains a barren, all but lifeless red rock."	-1	""	0x0000	"EOR"
"desc"	145	"Luna"	"The 'Lunicus' moonbase was set up to be a military command centre during the Voinian War, when it served as a base for the massive Sol fighter-defence fleet. Though the technology of the base is now relatively primitive, the factories here can still produce modern equipment, and UE naval high command is still located here."	-1	""	0x0000	"EOR"
"desc"	147	"Saalia"	"Mountainous Saalia is famous for one thing in particular - its brandy. Saalian brandy is famed (or rather notorious) all over human space, and perhaps beyond. In spite of strict UE trading regulations on its distribution, it is rumoured that off-world connoisseurs will pay a high price for even a small shipment."	-1	""	0x0000	"EOR"
"desc"	148	"Knox"	"The small world of Knox is the administrative headquarters of the UE fleet, excepting the border forces, commanded from the frontier outposts and Luna. In this less hazardous environment, staff officers arrange postings and organise supply shipments to worlds all over UE space."	-1	""	0x0000	"EOR"
"desc"	150	"Crockett"	"Crockett is the headquarters of Frontier Express, an informal organisation of experienced traders who are exclusively chartered by the UE navy to deliver supplies to outposts on the UE-Voinian frontier."	-1	""	0x0000	"EOR"
"desc"	151	"New Chicago"	"New Chicago is the headquarters of Stellar Corp, the formidably powerful corporation which has come, through devious manoeuvring over the century and a half of its existence, to dominate the majority of interplanetary trade throughout human space. Although no allegations against it have ever been substantiated, Stellar Corp. has an oft-exagerrated reputation for unscrupulous business tactics."	-1	""	0x0000	"EOR"
"desc"	152	"Telnan"	"The mines of Telnan are extremely dangerous - only the most desperate of spacers will take work as a miner here, and most of the work-force is made up of convicted felons from Earth. Almost every week brings news of another fatal or near-fatal mining accident on Telnan. The ore mined here is so valuable and pure, however, that to leave it would be totally economically unviable."	-1	""	0x0000	"EOR"
"desc"	153	"New Tokyo"	"New Tokyo is a major industrial world, renowned for high productivity, quality and efficiency. New Tokyo's factories supply a lot of vital equipment to newly-colonised planets, and the planet's shipyards construct a considerable proportion of civilian human vessels."	-1	""	0x0000	"EOR"
"desc"	154	"New Calcutta"	"Originally the site of a hopeful, thriving young colony, New Calcutta was recently struck by a mysterious disease which wiped out half of the population, along with much of the world's once abundant plant-life. The remainder of the colonists, planet-bound to minimise the risk of the contamination spreading, are desperately fighting for survival, with the help of regular runs of medical supplies."	-1	""	0x0000	"EOR"
"desc"	155	"UE Listening Post 2A"	"The United Earth government set up this series of listening posts to warn of other alien incursions. The data they collect is conveyed regularly back to UE naval command by message pod."	-1	""	0x0000	"EOR"
"desc"	156	"UE Listening Post 2E"	"The United Earth government set up this series of listening posts to warn of other alien incursions. The data they collect is conveyed regularly back to UE naval command by message pod."	-1	""	0x0000	"EOR"
"desc"	157	"Molos"	"Molos is the United Earth ColRegDep's newest colony, and as such is currently in the midst of a frenzy of settlement, as supplies and colonists and messages are rushed between here, Earth and elsewhere."	-1	""	0x0000	"EOR"
"desc"	158	"New Rome"	"New Rome's weird and unique life-forms make it a popular tourist world. Although for the average citizen interstellar travel is still expensive and unusual - even after nearly two centuries of space-flight, many on Earth never dream of leaving the homeworld - prices are steadily coming down, and New Rome is a favoured resort for once-in-a-lifetime space-travellers."	-1	""	0x0000	"EOR"
"desc"	159	"New Taranto"	"While Earth has become a warship-producing machine, New Tokyo churns out vast quantities of freight-carriers, and many worlds have their own small shipyard, the moon of New Taranto is unique in being utterly devoted the art of ship-crafting. All the most revolutionary and brilliant designers reside here. It is believed that Anna Balashova herself, who designed both the UE Fighter and its complement the Carrier, has retired here to work on the ship which will be her legacy to the galaxy."	-1	""	0x0000	"EOR"
"desc"	161	"Avann Outpost"	"The Voinians grudgingly built these outposts when they were forced to accept that the war was becoming dead-locked. Although United Earth forces are more rarely on the offensive than the Voinians, outposts like this one are a vital line-of-defence when such deadly, lightning raids do occur."	-1	""	0x0000	"EOR"
"desc"	162	"F-9056"	"Certain signs suggest that this desolate world was once home to a small colony of one race or another. It is obvious, however, that the planet has long been forgotten and ignored by both sides."	-1	""	0x0000	"EOR"
"desc"	163	"Ylynn Outpost"	"This moon serves as a base for Voinian attacks on United Earth space. By already established Voinian custom, all major offensives gather here to prepare for the assault."	-1	""	0x0000	"EOR"
"desc"	165	"F-6104"	"A barren planet, whose surface is marred by crater scars inflicted by stray rockets and missiles."	-1	""	0x0000	"EOR"
"desc"	168	"Obron Outpost"	"This Voinian frontier outpost serves the twin purpose of guarding the border and keeping an eye on the potentially rebellious neighbouring systems of Gualon and Gamur."	-1	""	0x0000	"EOR"
"desc"	170	"Huron"	"Huron is unique among UE colony worlds, having been independent of all major powers until it accepted the protection of the UE fleet after the Voinian War, by which it was barely affected. These days, the UE navy, taxed enough by the Voinian war, is hard-pressed to keep Huron defended from renegade raids, while the resources of Huron, considerable as it was able to grow and prosper while other worlds were subjected to the Voinian onslaught, continue to go towards fortifying the frontier."	-1	""	0x0000	"EOR"
"desc"	171	"UE Listening Post 2G"	"The United Earth government set up this series of listening posts to warn of other alien incursions. The data they collect is conveyed regularly back to UE naval command by message pod."	-1	""	0x0000	"EOR"
"desc"	173	"Apollo"	"It is almost always day on Apollo, due to the brightness of both the sun and the huge, almost sun-like gas giant of Helios which the moon orbits. Thanks to this cosmological quirk (and various bio-engineering techniques) the farms of Apollo are extremely productive. The moon is, however, currently suffering from renegade attacks, having recently been abandoned by the United Earth government, who lacked the resources to properly defend it."	-1	""	0x0000	"EOR"
"desc"	174	"Troub"	"An uninhabited, somewhat purple, world. Troub's mysterious atmosphere and intriguing landscape look as though they might conceal untold sinister secrets. Unfortunately you are not at leisure to explore."	-1	""	0x0000	"EOR"
"desc"	175	"F-909"	"An unpleasant, barely habitable world, whose surface is constantly ravaged by storm-clouds composed of all manner of noxious chemicals."	-1	""	0x0000	"EOR"
"desc"	176	"New Alcatraz"	"New Alcatraz, always a world on the verge of criminality, was the first planet to declare independence from United Earth, whose ships had never had much power this deep in the Proxima Nebula. The small world quickly became, and remains, a focal point for every misfit and trouble-maker in human space. One way or another, few captains make more than one trip to New Alcatraz."	-1	""	0x0000	"EOR"
"desc"	178	"F-4067"	"An inhospitable, desert world, which only a few small, vicious crabs appear to inhabit."	-1	""	0x0000	"EOR"
"desc"	179	"UE Listening Post 2J"	"The United Earth government set up this series of listening posts to warn of other alien incursions. The data they collect is conveyed regularly back to UE naval command by message pod."	-1	""	0x0000	"EOR"
"desc"	180	"Thehir"	"The twin planets of Thehir and Gribn became independent on the basis of their extremely mutually profitable arrangement: Gribn processes the ore mined on Thehir, and amongst the other products is mining equipment which is sold back to Thehir. The only difficulty is getting traders to fly the pirate-infested space between the two planets; the Thehir-Gribn run is known as the miser's funeral, for although running costs are temptingly low, as no hyper-jumps are necessary, the Hatuli system is exceptionally dangerous."	-1	""	0x0000	"EOR"
"desc"	181	"Gribn"	"The twin planets of Thehir and Gribn became independent on the basis of their extremely mutually profitable arrangement: Gribn processes the ore mined on Thehir, and amongst the other products is mining equipment which is sold back to Thehir. The only difficulty is getting traders to fly the pirate-infested space between the two planets; the Thehir-Gribn run is known as the miser's funeral, for although running costs are temptingly low, as no hyper-jumps are necessary, the Hatuli system is exceptionally dangerous."	-1	""	0x0000	"EOR"
"desc"	183	"Omm"	"The world of Omm is home to a secretive holy order. The monks of Omm have never been beholden to any wider government, and conduct their mysterious business in the secure areas beyond the spaceport."	-1	""	0x0000	"EOR"
"desc"	184	"Iothe Prime"	"Iothe Prime's founders included a large number of skilled technicians and engineers, who had pooled their skills and resources in order to leave Earth. The Voinian War did not touch this distant planet, and Iothe Prime attracted more colonists, maintaining a high-level of technical expertise despite constant renegade raids. Now the world is renowned for the the quality craftsmanship of all the goods it produces, and this is easily enough to tempt many traders to come here."	-1	""	0x0000	"EOR"
"desc"	185	"UE Listening Post 2Q"	"The United Earth government set up this series of listening posts to warn of other alien incursions. The data they collect is conveyed regularly back to UE naval command by message pod."	-1	""	0x0000	"EOR"
"desc"	187	"Freeport"	"Freeport was built long ago from scrap parts taken from one ship or another. Over the years it has been rebuilt, extended, repaired and redecorated, and is now a bizarre mongrel of a station. Freeport is the base for one of the slightly more organised renegade factions, headed by the Captains of Freeport; a selection of the most dangerous criminals, ruthless geniuses, and hot-shot pilots humanity has ever produced."	-1	""	0x0000	"EOR"
"desc"	188	"F-2795"	"A barren planet hidden deep in the Proxima Nebula."	-1	""	0x0000	"EOR"
"desc"	189	"Gorky"	"The world of Gorky has a single human settlement; a dingy, disreputable spaceport located on a lonely island. In fact the settlement is little more than a huge arms fair, as shady characters try to sell off false papers, high-yield bombs and second-hand spacecraft."	-1	""	0x0000	"EOR"
"desc"	190	"Paaren"	"The self-proclaimed 'second city' of humanity, Paaren is a luxury world inhabited by anyone with the inclination and enough cash to pay their own way off Earth. A large planet, there is easily enough room on Paaren to keep the luxury-residential areas and the industrial spaceport and shipyard zones well apart."	-1	""	0x0000	"EOR"
"desc"	191	"Paaren Station"	"The now-completed Paaren station is a centre for research and development of new technology. Experimental scientists have flocked here from all over UE space, and the UE military keeps a number of observers here to look for military applications for the various projects."	-1	""	0x0000	"EOR"
"desc"	192	"Isled Station"	"The scientists of this isolated Voinian station refuse to give a human any information on what they are working on. All they will say is that they are working on a top secret military project."	-1	""	0x0000	"EOR"
"desc"	193	"Huron"	"Huron recently gained independence from the United Earth Government, through Admiral McPherson's unilateral and much-criticised decree, and, to the surprise of many, has so far succeeded in defending itself from renegade attacks as well, or better, some would claim, than it was before it became independent. Certainly there has been no drastic turn for the worse on Huron."	-1	""	0x0000	"EOR"
"desc"	194	"Emalghia"	"Emalghia is the homeworld of the Emalgha people. The Emalgha had only recently achieved spaceflight when the Voinians attacked their system. They fought back with ferocity - but little success. Their world was occupied for almost a century, until a successful revolt was staged when the majority of the occupation force was called away to attack Earth. Now the Emalgha, making use of captured Voinian technology and their own primitive designs, fight a day-to-day struggle to protect their world from the Voinians."	-1	""	0x0000	"EOR"
"desc"	195	"Lmeito"	"Lmeito is the nearer of Emalghia's two moons, and is home to a small Emalgha farming colony."	-1	""	0x0000	"EOR"
"desc"	196	"Gurado"	"The moon of Gurado, uninhabitable to the Emalgha, is used as a base for their warships, and as the command centre of their fleet. Fleets of Emalgha ships from here constantly patrol the upper atmosphere of Emalghia, ever alert for Voinian intruders, while more ships fly training missions around the moon itself."	-1	""	0x0000	"EOR"
"desc"	197	"Ekiup"	"Ekiup is a long-established Voinian colony and powerful heavy industrial planet. Its spaceport is busy with warships and soldiers, on their way both to the Avann Outpost and to attack Emalghion."	-1	""	0x0000	"EOR"
"desc"	199	"Krotun"	"Krotun is a planet of harsh, rocky deserts and acid rain storms. Nothing can survive on the planet's bleak surface. Beneath this unprepossessing outer shell, however, are rich mines of an ore which, after processing, produces the high-quality fuel required to power Voinian vessels. Therefore, beneath the barren wastes vast teams of slaves of many alien races work ceaselessly to extract this precious ore, all under the watchful eyes of Voinian overseers."	-1	""	0x0000	"EOR"
"desc"	200	"Lelint"	"Lelint is an unusual world - to have rings, and yet be inhabitable. The Voinians have established a large colony here despite many problems. For example, the semi-liquid nature of the surface means that stable land masses are few and far between, and most settlements must simply float, hopefully avoiding unpleasant natural disasters like boiling mud pools, or the huge mud-sharks that swim the viscous seas, hindering any attempt to establish further stable bases."	-1	""	0x0000	"EOR"
"desc"	201	"Fu"	"No sooner have you landed outside this moon's single small building than an angry old Voinian storms out of the building, jabbering at you unintelligibly. His gestures seem to indicate that he is less than pleased to receive visitors."	-1	""	0x0000	"EOR"
"desc"	203	"Monglek"	"The moon of Monglek is a rarity amongst Voinian colony worlds; it was never the home of any other, native race, but is owned and peopled only by Voinians."	-1	""	0x0000	"EOR"
"desc"	204	"Ekiup Station"	"This station is a staging and supply post for the Voinian forces, vital in such a busy cross-roads as the Romit system."	-1	""	0x0000	"EOR"
"desc"	206	"Isled Station"	"After the failure of the Dreadnought project, the Voinians abandoned this research station."	-1	""	0x0000	"EOR"
"desc"	207	"Outpost Theta"	"Outpost Theta, once the most isolated of all the outposts on the Voinian frontier, is now in the process of being dismantled since it is not needed after the success of the UE-Emalgha offensive. A new outpost, Omicron, is being set up on the new frontier."	-1	""	0x0000	"EOR"
"desc"	209	"Outpost Omicron"	"UE forces had hoped to capture the Voinian Avann outpost in the course of the offensive and use it as their own base on the new frontier. Unfortunately, the fanatical Voinian crew destroyed their own outpost rather than let this happen. Because of this, UE forces have had to hurriedly build this new outpost, under constant threat of Voinian reprisals."	-1	""	0x0000	"EOR"
"desc"	210	"Gualon"	"Gualon is an important industrial Voinian world, based upon a massive native slave workforce. Gualon was conquered by the Voinians while the natives technology was still relatively primitive, and resistance was ruthlessly stamped out and is now negligible."	-1	""	0x0000	"EOR"
"desc"	211	"Ekiup"	"Ekiup was once a Voinian colony world, with a high proportion of military bases. After the UE-Emalgha joint offensive, Ekiup was cut off by the Emalgha forces which now controlled the Romit system. A siege developed, to the point where the Emalgha's situation became untenable, with supply lines from Emalghia threatened, and no help forthcoming from the weakened UE forces. Finally the Emalgha commander ordered a full-scale bombardment of Ekiup, killing hundreds of thousands, including non-Voinian slaves, and leaving the surface … as you see it."	-1	""	0x0000	"EOR"
"desc"	212	"Ghammol Station"	"Formerly Ekiup station, this Voinian space-station is now an Emalgha outpost, which sits like an island at the very rim of the seat of Voinian power. Ghammol is the name of a town on Emalghia, whose inhabitants, at the time of the Voinian occupation, were massacred in reprisal for Emalgha resistance actions."	-1	""	0x0000	"EOR"
"desc"	214	"Emalghia"	"Emalghia is the homeworld of the Emalgha people. The Emalgha had only recently achieved spaceflight when the Voinians attacked their system. They fought back with ferocity - but little success. Their world was occupied for almost a century, until a successful revolt was staged when the majority of the occupation force was called away to attack Earth. Recently the Emalgha made a combined assault with the UE navy on the Voinians, amongst the results of which is that Emalghia has been freed, at least for the moment, from the threat of Voinian attack."	-1	""	0x0000	"EOR"
"desc"	215	"Lmeito"	"Lmeito is the nearer of Emalghia's two moons, and is home to a small Emalgha farming colony."	-1	""	0x0000	"EOR"
"desc"	216	"Gurado"	"The moon of Gurado, uninhabitable to the Emalgha, is used as a base for their warships, and as the command centre of their fleet. Now that defence of Emalghia is not quite so frantic an occupation, there are occasionally hours during which Gurado's skies are free of patrolling fighters."	-1	""	0x0000	"EOR"
"desc"	217	"New Alcatraz"	"The renegade base and settlement on this little world was abandoned, after a rare UE reprisal shattered the renegade fleets in the area. The survivors of the attack fled, and the world now lies uninhabited."	-1	""	0x0000	"EOR"
"desc"	218	"Gualon Station"	"The heavily armed Gualon station is the reason why resistance on Gualon is so minimal. Every gun on the top security station points planetwards, threatening the natives with utter devastation should they ever succeed in overthrowing their masters."	-1	""	0x0000	"EOR"
"desc"	220	"Outpost Gamma"	"The future of this now seemingly purposeless outpost is currently under discussion."	-1	""	0x0000	"EOR"
"desc"	221	"F-6104"	"Still a barren planet, whose surface is marred by crater scars inflicted by stray rockets and missiles."	-1	""	0x0000	"EOR"
"desc"	224	"Outpost Sigma"	"The Voinian Obron outpost was captured by UE forces in the confusion surrounding the Hinwar slave revolt, and renamed Outpost Sigma. It is the command centre for Vice Admiral d'Erlon, who now commands United Earth forces in this sector, and continues to test and confront the Voinians at every stage."	-1	""	0x0000	"EOR"
"desc"	226	"Krotun"	"Krotun is a planet of harsh, rocky deserts and acid rain storms. Nothing can survive on the planet's bleak surface. Beneath the surface, however, are rich mines of ore which, after processing, produces the high-quality fuel required to power Voinian vessels. The teams of slaves which used to mine the ore have recently revolted against their overseers and now, as part of the Free Hinwar Alliance, control the ore themselves. They are currently trading it with UE forces on an ad-hoc basis, in exchange for supplies and military aid."	-1	""	0x0000	"EOR"
"desc"	227	"Lelint"	"Lelint is an unusual world, having rings and a semi-liquid surface and yet being semi-inhabitable. The Voinians once large colony here has recently been abandoned, not due to boiling mud or mud-sharks, but after a slave revolt on neighbouring Krotun."	-1	""	0x0000	"EOR"
"desc"	228	"Fu"	"Outside this moon's single small building an angry old Voinian stands jabbering unintelligibly at a squad of UE marines whose captain tries unsuccessfully to explain that his moon has been invaded."	-1	""	0x0000	"EOR"
"desc"	229	"Liadon"	"Named Gualon by the Voinians, the world of Liadon is once again the free home of its native inhabitants the Hinwar. Eager to exact further revenge upon their oppressors, the Hinwar continue to work busily in the factories in which they were once enslaved, but now the arms and equipment they produce is to be used against their former masters."	-1	""	0x0000	"EOR"
"desc"	230	"Liadon Station"	"The guns of the re-named Liadon station, which is now a supply post for UE and Hinwar ships, have been dismantled, so that the planet can never be put under the same threat again."	-1	""	0x0000	"EOR"
"desc"	231	"Voina"	"The homeworld of the Voinians is a desolate planet, whose harsh climate has not been improved by the centuries of heavy industry and careless disposal of pollutants which have characterised the rise of the great Voinian Empire. The planet's atmosphere is a slow poison for humans and many other races, and is not that much better for the Voinians themselves."	-1	""	0x0000	"EOR"
"desc"	232	"Borb Station"	"Building ships on high gravity Voina is an extremely difficult task, so this station has long existed as the Voinian's main shipyard. It is named after Borb, military leader of the Voinians during their initial expansion out into the galaxy, whose great sayings and proclamations are regularly recited by rote even to this day."	-1	""	0x0000	"EOR"
"desc"	233	"Kelmaon"	"Kelmaon is the Emalgha's first and only interstellar colony. During the Voinian occupation Emalghia was all but stripped of ore by the resource-hungry conquerors, and after their rebellion the Emalgha had to seek new sources of metal, while making maximum use of alternatives. The dangerous mines of Kelmaon are not the richest, but they are the Emalgha's best, indeed their only, source of good metals."	-1	""	0x0000	"EOR"
"desc"	234	"Blaga"	"The calm and pleasant world of Blaga is a point of trade between the Miranu and the Crescent. Although long colonised by the Miranu, the planet remains virtually totally unspoilt. But a short walk from Blaga's busiest places of business are broad, sandy beaches and vast, green parklands."	-1	""	0x0000	"EOR"
"desc"	235	"Mira"	"Mira, the homeworld of the Miranu people, is a world of vast, glittering oceans and beautiful purple skies. Unlike many other races, mankind included, the Miranu have not polluted or tainted the beauty of their homeworld in the rush to keep up with the desperate competition of the stars."	-1	""	0x0000	"EOR"
"desc"	237	"F-9012"	"This world is marked with centuries of asteroid impacts."	-1	""	0x0000	"EOR"
"desc"	238	"Outpost Zachit"	"This station is the base of the Zachit - a defence force funded by the Miranu, which is employed to defend the northern Miranu worlds against renegade incursions. Despite the fact that at least half a dozen different alien races are represented amongst the mercenaries of the Zachit (who refer to themselves as the Zacha), and despite its loose organisation, the Zachit does an extremely good job: the core Miranu worlds are rarely if ever bothered by renegades. The Zacha have a fearsome reputation, every one of them is of at least Dangerous combat rating."	-1	""	0x0000	"EOR"
"desc"	240	"Himgro"	"The Miranu Academy of Medical Studies is located on Himgro. As well as being the main training centre for Miranu physicians, this moon is home to a vast library of knowledge on the physiology of billions of organisms from dozens of different worlds."	-1	""	0x0000	"EOR"
"desc"	242	"F-9397"	"A bleak, unwelcoming world of shifting sands and strange creatures."	-1	""	0x0000	"EOR"
"desc"	244	"F-1357"	"This beautiful world is inhabited by a primitive alien culture. You leave them to themselves, though you realise that their peaceful seclusion cannot last forever in this turbulent galaxy."	-1	""	0x0000	"EOR"
"desc"	246	"S-8502"	"As your ship lands, you wonder just what you are doing here on this remote lump of rock."	-1	""	0x0000	"EOR"
"desc"	247	"F-624"	"You search this world thoroughly for hidden bases, rare and valuable ores, crashed spacecraft, weird life-forms or other esoterica - but find nothing."	-1	""	0x0000	"EOR"
"desc"	248	"F-6572"	"A perfectly ordinary world."	-1	""	0x0000	"EOR"
"desc"	249	"S-1872"	"This is one of a pair of quite habitable seeming moons in this system."	-1	""	0x0000	"EOR"
"desc"	250	"S-7984"	"This is one of a pair of quite habitable seeming moons in this system."	-1	""	0x0000	"EOR"
"desc"	251	"F-4916"	"You admire the strange purple oceans and pink landmasses of this planet (or is it the other way round?)."	-1	""	0x0000	"EOR"
"desc"	253	"F-1090"	"Bleak, cold, desolate, empty."	-1	""	0x0000	"EOR"
"desc"	256	"Tmidran"	"The Miranu set up a small colony on Tmidran some decades ago. Unfortunately, due to the renegade problem, the colony has remained small ever since, the Miranu not being known for their determination in the face of adversity."	-1	""	0x0000	"EOR"
"desc"	257	"Garn"	"Something interesting might happen on this world if only someone would warm it up."	-1	""	0x0000	"EOR"
"desc"	258	"Poch"	"The inhabitants of this agrarian colony live in perpetual fear of the renegades who make regular attacks only one or two jumps north. Fighting down their apprehension, they work incessantly and diligently on each year's harvest, hoping that their world's vast food output will somehow turn back the raiders."	-1	""	0x0000	"EOR"
"desc"	260	"Zanati Refinery"	"On this station gases gathered from the planet below are refined into spaceship fuel, which is then shipped off to supply depots all over Miranu space and beyond."	-1	""	0x0000	"EOR"
"desc"	261	"Kirrim Prime"	"Kirrim Prime is home to a small Miranu scientific research station, and a lot of snow."	-1	""	0x0000	"EOR"
"desc"	262	"Kitrak"	"The populous world of Kitrak is famed for its delicious purple river eels, and very little else."	-1	""	0x0000	"EOR"
"desc"	263	"Priato"	"Do you have some deep obsession with bleak, wasted vistas?"	-1	""	0x0000	"EOR"
"desc"	264	"Station Pybin"	"This station is devoted to working on new technologies and ship designs. Both the Pursuit missile and the Miranu Defence system were designed here. Posts on this station are highly sought after by the elite of the Miranu science community."	-1	""	0x0000	"EOR"
"desc"	265	"Leiton"	"The strange people of Leiton seem to be devoted to producing all manner of weird, impractical items - which you cannot imagine anyone in the galaxy finding any use for."	-1	""	0x0000	"EOR"
"desc"	269	"F-9693"	"A barren world."	-1	""	0x0000	"EOR"
"desc"	273	"Fuelling Post 12"	"This station acts as a refuelling and rearming post for Zachit patrols and those traders mad or desperate enough to travel these routes."	-1	""	0x0000	"EOR"
"desc"	274	"Zeldra"	"The mines of Zeldra are perfect in almost every respect - they are rich in ore, the tunnels are unusually safe, and the world's atmosphere is breathable. The one thing that spoils it all is Zeldra's location deep in renegade infested space."	-1	""	0x0000	"EOR"
"desc"	275	"Munb"	"The moon of Munb is the only place in the known galaxy where the unique Munb plant will grow. This plant is highly valued for its leaves, which have powerful medicinal properties, and are considered priceless by Miranu doctors."	-1	""	0x0000	"EOR"
"desc"	276	"Hizdriar"	"Hizdriar's population is made up mostly of Strandless; exiles from the worlds of the Azdgari, Zidagar or Igadzra. Hizdriar is a world with a very bad reputation for harbouring renegades, which, while it may well be undeserved by much of the population, has a lot of basis in fact. Hizdriar lacks the resources to defend itself and so relies on good will from all quarters to survive."	-1	""	0x0000	"EOR"
"desc"	277	"The Rock"	"All that distinguishes this asteroid from the others in this, the densest part of the asteroid belt, is its size, and the fact that it has been hollowed out by ingenious renegades to create a shipyard and space station. Further work created shields which deflect asteroids which might seriously damage the base if they collided with it, and now the renegades have in the Rock an almost unassailable base of operations."	-1	""	0x0000	"EOR"
"desc"	278	"Garit"	"Isolated does not begin to describe this Azdgari outpost. Garit acts as a training base for Azdara pilots before they are posted to the main front - getting here is part of the training."	-1	""	0x0000	"EOR"
"desc"	279	"North Tip Station"	"This station is the most distant inhabited point along the north arm of the Crescent. It is also a base for some of the deadliest and most unscrupulous renegades in the galaxy. Such an array of criminal talent inevitably attracts comparably skilled engineers and technicians, and so North Tip Station is a good place for purchasing rarer items of equipment - no questions asked."	-1	""	0x0000	"EOR"
"desc"	280	"New Mira"	"New Mira was colonised by the Miranu in an atmosphere of hope, long before the renegade problem became so pronounced. It quickly grew in size and importance, exceeded only by that of the homeworld, only to be submerged amid the tides of Strandless refugees. Now this once rich and prosperous world is a backwater, shunned by traders unwilling to risk battling their way to this world."	-1	""	0x0000	"EOR"
"desc"	281	"Pozdag-3"	"The Zidagar have a single colony on this barren planet, their most distant outpost against the renegade threat."	-1	""	0x0000	"EOR"
"desc"	282	"F-7136"	"Ugh! It's no surprise that no one has colonised this ugly mudball of a world."	-1	""	0x0000	"EOR"
"desc"	284	"Svass Station"	"This station is a hub of Voinian activity - every warship, every cargo, no matter its destination, seems to pass through this system and stop at this station."	-1	""	0x0000	"EOR"
"desc"	285	"Denlon"	"Denlon is the Voinian's base of operations for actions against the Emalgha. Since the Emalgha are the lesser of the Voinians two enemies, there is a distinct shortage of Voinian warships in and around the Fridion system."	-1	""	0x0000	"EOR"
